nohup: ignoring input
======================================================
  Experimentos MPI — Multiplicación de Matrices
  Fecha: Fri May 15 22:50:27 UTC 2026
======================================================
[INFO] Compilando...
[INFO] Compilación completada

version,N,P,rep,tiempo_ms,gflops
block,3000,6,4,8189.39,6.5939
row,3000,6,5,8542.29,6.32149
block,3000,6,5,8147.68,6.62766
row,3000,8,1,6482.2,8.33051
block,3000,8,1,6538.82,8.25838
row,3000,8,2,6232.55,8.66419
block,3000,8,2,6456.03,8.36428
row,3000,8,3,6399.92,8.4376
block,3000,8,3,6278.73,8.60046
row,3000,8,4,6514.03,8.2898
block,3000,8,4,6507.66,8.29791
row,3000,8,5,6610.41,8.16893
block,3000,8,5,6768.73,7.97786
row,3000,12,1,4314.21,12.5168
block,3000,12,1,4399.57,12.2739
row,3000,12,2,4332.36,12.4643
block,3000,12,2,4375.88,12.3404
row,3000,12,3,4240.37,12.7347
block,3000,12,3,4413.99,12.2338
row,3000,12,4,4203.25,12.8472
block,3000,12,4,4593.29,11.7563
row,3000,12,5,4373.86,12.3461
block,3000,12,5,4417.11,12.2252

[INFO] Experimentos completados.
